key	result
六安	[ [ "六安" , "中国" , 2]]
spdlsl	[ [ "圣佩德罗苏拉" , "洪都拉斯" , 2]]
kksb	[ [ "科克斯巴扎尔" , "孟加拉" , 2]]
博拉博拉	[ [ "博拉博拉" , "法属波利尼西亚" , 2]]
manisalais	[ [ "马尼萨莱斯" , "哥伦比亚" , 2]]
aoerb	[ [ "奥尔堡" , "丹麦" , 2] , [ "奥尔波依" , "瓦努阿图" , 2]]
jdz	[ [ "景德镇" , "中国" , 2]]
rineiwa	[ [ "日内瓦" , "瑞士" , 2]]
jeg	[ [ "加尔各答" , "印度" , 2]]
jej	[ [ "吉尔吉斯斯坦" , "亚洲" , 1]]
kufula	[ [ "库弗拉" , "利比亚" , 2]]
aoerd	[ [ "奥尔岛" , "马绍尔群岛" , 2] , [ "奥尔达斯港" , "委内瑞拉" , 2]]
jed	[ [ "加尔达湖畔" , "意大利" , 2]]
aoerj	[ [ "奥尔金" , "古巴" , 2]]
圣玛丽	[ [ "圣玛丽岛" , "马达加斯加" , 2]]
aoerh	[ [ "奥尔胡斯" , "丹麦" , 2]]
奥兰	[ [ "奥兰" , "阿尔及利亚" , 2] , [ "奥兰治蒙德" , "纳米比亚" , 2]]
滁州	[ [ "滁州" , "中国" , 2]]
kksq	[ [ "科科斯群岛" , "大洋洲" , 1]]
jep	[ [ "居尔皮普" , "毛里求斯" , 2]]
jek	[ [ "加尔卡尤" , "索马里" , 2]]
阿布戴尔	[ [ "阿布戴尔" , "肯尼亚" , 2]]
beifangch	[ [ "北方城" , "卡塔尔" , 2]]
aoert	[ [ "奥尔塔" , "葡萄牙" , 2]]
aerbaming	[ [ "阿尔巴明契" , "埃塞俄比亚" , 2]]
伊尔库	[ [ "伊尔库茨克" , "俄罗斯" , 2]]
aiwoneis	[ [ "埃沃内斯" , "挪威" , 2]]
兰卡威	[ [ "兰卡威" , "马来西亚" , 2]]
suolinu	[ [ "索里诺" , "安哥拉" , 2]]
jfs	[ [ "加夫萨" , "突尼斯" , 2]]
yilak	[ [ "伊拉克" , "亚洲" , 1]]
haisai	[ [ "海塞卜" , "阿曼" , 2]]
哈科	[ [ "哈科特港" , "尼日利亚" , 2]]
wuyish	[ [ "武夷山" , "中国" , 2]]
博阿维斯塔	[ [ "博阿维斯塔" , "佛得角" , 2]]
yilan	[ [ "伊朗" , "亚洲" , 1]]
奥克	[ [ "奥克兰" , "新西兰" , 2] , [ "艾尔奥克" , "马绍尔群岛" , 2]]
hmed	[ [ "汉密尔顿" , "新西兰" , 2]]
E	[ [ "俄罗斯" , "欧洲" , 1] , [ "俄斯特拉发" , "捷克" , 2] , [ "恩平" , "中国" , 2] , [ "恩施" , "中国" , 2] , [ "鄂州" , "中国" , 2] , [ "恩多拉" , "赞比亚" , 2] , [ "恩德培" , "乌干达" , 2] , [ "恩高岛" , "斐济" , 2] , [ "恩海岬" , "希腊" , 2] , [ "恩卡伊" , "刚果(布)" , 2]]
estl	[ [ "俄斯特拉发" , "捷克" , 2]]
saduma	[ [ "萨杜马勒" , "罗马尼亚" , 2]]
F	[ [ "法国" , "欧洲" , 1] , [ "佛罗伦萨" , "意大利" , 2] , [ "法兰克福" , "德国" , 2] , [ "釜山" , "韩国" , 2] , [ "芬兰" , "欧洲" , 1] , [ "梵蒂冈" , "欧洲" , 1] , [ "梵蒂冈城" , "梵蒂冈" , 2] , [ "菲律宾" , "亚洲" , 1] , [ "佛得角" , "非洲" , 1] , [ "弗罗茨瓦夫" , "波兰" , 2]]
bason	[ [ "巴松戈" , "刚果(金)" , 2]]
ssewd	[ [ "圣萨尔瓦多" , "萨尔瓦多" , 2]]
波多诺	[ [ "波多诺伏" , "贝宁" , 2]]
A	[ [ "奥地利" , "欧洲" , 1] , [ "爱丁堡" , "英国" , 2] , [ "安道尔" , "欧洲" , 1] , [ "阿根廷" , "南美洲" , 1] , [ "奥斯陆" , "挪威" , 2] , [ "阿联酋" , "亚洲" , 1] , [ "埃及" , "非洲" , 1] , [ "奥卢" , "芬兰" , 2] , [ "埃森" , "德国" , 2] , [ "阿伯丁" , "英国" , 2]]
B	[ [ "巴黎" , "法国" , 2] , [ "柏林" , "德国" , 2] , [ "波尔多" , "法国" , 2] , [ "比利时" , "欧洲" , 1] , [ "芭堤雅" , "泰国" , 2] , [ "布拉格" , "捷克" , 2] , [ "芭提雅" , "泰国" , 2] , [ "比萨" , "意大利" , 2] , [ "槟城" , "马来西亚" , 2] , [ "巴西" , "南美洲" , 1]]
shengaoy	[ [ "圣奥依斯坦图斯" , "荷属安的列斯" , 2]]
布基纳	[ [ "布基纳法索" , "非洲" , 1]]
M	[ [ "米兰" , "意大利" , 2] , [ "曼谷" , "泰国" , 2] , [ "慕尼黑" , "德国" , 2] , [ "马德里" , "西班牙" , 2] , [ "马赛" , "法国" , 2] , [ "莫斯科" , "俄罗斯" , 2] , [ "美国" , "北美洲" , 1] , [ "马来西亚" , "亚洲" , 1] , [ "马六甲" , "马来西亚" , 2] , [ "曼彻斯特" , "英国" , 2]]
ests	[ [ "厄斯特松德" , "瑞典" , 2]]
I	[ [ "intelaken" , "瑞士" , 2]]
jgm	[ [ "基戈马" , "坦桑尼亚" , 2]]
kaliba	[ [ "卡里巴" , "津巴布韦" , 2]]
muka	[ [ "木卡拉" , "也门" , 2]]
kcgyd	[ [ "开城工业地区" , "朝鲜" , 2]]
jgs	[ [ "井冈山" , "中国" , 2] , [ "金刚山观光地区" , "朝鲜" , 2]]
莫纳斯	[ [ "莫纳斯提尔" , "突尼斯" , 2]]
yuedan	[ [ "约旦" , "亚洲" , 1]]
