trieBegin	trieEnd	trieindex
644	644	-1
645	645	-1
646	646	-1
647	647	-1
648	648	-1
649	649	-1
650	650	-1
651	651	-1
652	652	-1
653	654	-1
655	659	-1
660	663	-1
664	668	-1
669	669	-1
670	670	-1
671	683	-1
684	684	-1
685	690	-1
691	694	-1
695	705	-1
706	711	-1
712	713	-1
714	715	-1
716	728	-1
729	729	-1
730	735	-1
736	736	-1
737	740	-1
741	741	-1
742	742	-1
743	743	-1
744	744	-1
745	747	-1
748	753	-1
754	754	-1
755	764	-1
765	766	-1
767	767	-1
768	769	-1
770	771	-1
772	772	-1
773	773	-1
774	774	-1
775	775	-1
776	776	-1
777	777	-1
778	778	-1
779	789	-1
790	792	-1
793	794	-1
795	801	-1
802	802	-1
803	803	-1
804	807	-1
808	810	-1
811	811	-1
812	813	-1
814	814	-1
815	815	-1
816	818	-1
819	822	-1
823	824	-1
825	825	-1
826	826	-1
827	827	-1
828	828	-1
829	829	-1
830	837	-1
838	838	-1
839	839	-1
840	840	-1
841	842	-1
843	848	-1
849	850	-1
851	857	-1
858	858	-1
859	862	-1
863	863	-1
864	864	-1
865	865	-1
866	866	-1
867	867	-1
868	869	-1
870	870	-1
871	872	-1
873	873	-1
874	877	-1
878	878	-1
879	880	-1
881	891	-1
892	892	-1
893	905	-1
906	907	-1
908	908	-1
909	912	-1
913	913	-1
914	915	-1
916	930	-1
931	931	-1
932	933	-1
934	938	-1
939	939	-1
940	959	-1
960	985	-1
986	1008	-1
1009	1017	-1
1018	1018	-1
1019	1019	-1
1020	1020	-1
1021	1021	-1
1022	1025	-1
1026	1026	-1
1027	1027	-1
1028	1030	-1
1031	1031	-1
1032	1032	-1
1033	1036	-1
1037	1037	-1
1038	1040	-1
1041	1043	-1
1044	1053	-1
1054	1054	-1
1055	1055	-1
1056	1056	-1
1057	1059	-1
1060	1060	-1
1061	1065	-1
1066	1067	-1
1068	1069	-1
1070	1072	-1
1073	1074	-1
1075	1086	-1
1087	1090	-1
1091	1091	-1
1092	1093	-1
1094	1098	-1
1099	1101	-1
1102	1102	-1
1103	1105	-1
1106	1107	-1
1108	1108	-1
1109	1114	-1
1115	1116	-1
1117	1140	-1
1141	1141	-1
1142	1142	-1
1143	1146	-1
