拼音	词汇一	词汇二	...	词汇n
luoatan	罗阿坦
spdlsl	圣佩德罗苏拉
jdz	景德镇
rineiwa	日内瓦
kufula	库弗拉
jidagang	吉大港
kstc	康斯坦察
qiyan	七岩
tangjiatabudao	汤加塔布岛
danzhou	儋州
alade	阿拉德
hnmad	哈霓玛阿都
mangu	曼谷
guangshui	广水
kstw	卡斯塔韦
ainiweituokedao	埃尼威托克岛
wuzhong	吴忠
kstl	卡斯特里
jfs	加夫萨
eerguna	额尔古纳
awalua	阿瓦鲁阿
heersong	赫尔松
putaoya	葡萄牙
hebi	鹤壁
hmed	汉密尔顿
ssewd	圣萨尔瓦多
sikepuli	斯科普里
bhde	巴赫达尔
medw	摩尔多瓦
ganzi	甘孜
alaer	阿拉尔
yangzhou	扬州
jgm	基戈马
kaliba	卡里巴
yuehanneisibaoshi	约翰内斯堡市
jgs	井冈山
dazu	大足
yuedan	约旦
fuan	福安
nfkd(as)	诺福克岛(澳属)
kalibo	卡里波
wenshan	文山
yjde	亚加的尔
taiwan	台湾
liling	醴陵
daye	大冶
benekn	伯尔尼恩孔尼
xigong	西贡
kuzhan	苦盏
fandigangcheng	梵蒂冈城
kailuwan	凯鲁万
dengfeng	登封
medf	马尔代夫
shengpeideluosula	圣佩德罗苏拉
jiujiang	九江
jhs	九华山
taertu	塔尔图
amusitedan	阿姆斯特丹
pipidao	皮皮岛
enkayi	恩卡伊
niuafuou	纽阿福欧
bayamo	巴亚莫
bisha	比沙
gangguobu	刚果（布）
gaoan	高安
suqiawa	苏恰瓦
ajianni	阿基安尼
abxbl	阿布新比勒
ejmn	恩贾梅纳
famagusita	法马古斯塔
maliyawenquancheng	玛丽亚温泉城
dongdiwen	东帝汶
wulumuqi	乌鲁木齐
yilinjia	伊林加
qionglai	邛崃
engangdailei	恩冈代雷
fllsd	佛洛雷斯岛
aohuate	奥华特
meisi	梅斯
dazhou	达州
alblhqzg	阿拉伯联合酋长国
samaerhan	撒马尔罕
aedbld	阿尔达布拉岛
buleidaersiweike	布雷达尔斯维克
songyuan	松原
jbt	吉布提	贾巴特
jxnw	基希讷乌
dsedf	杜塞尔多夫
bijie	毕节
gongzhuling	公主岭
ashenbodun	阿什伯顿
misulata	米苏拉塔
hangzhou	杭州
doujiangyan	都江堰
bjxmt	巴基西梅托
kkqd	库克群岛
hegd	赫尔格达
naoludao	瑙鲁岛
yushu	榆树
jdc	基督城
changjiang	昌江
taishan	台山
hegs	哈尔格萨
jdg	吉大港
aiergehada	艾尔格哈达
aoerboyi	奥尔波依
yangjiaocun	羊角村
IRANSHAHR	IRANSHAHR	IRANSHAHR
kzl-ntes	夸祖鲁-纳塔尔省
jdl	基蒂拉
beiaierlan	北爱尔兰
yingtan	鹰潭
aitufei	艾图斐
kailuo	开罗
jms	佳木斯
hskst	哈萨克斯坦
jianeiliqundaoxi	加那利群岛（西）
jmd	甲米岛
badeng	巴登
lubange	卢班戈
sseqd	塞舌尔群岛
atebala	阿特巴拉
tamatafu	塔马塔夫
zhenjiang	镇江
jny	几内亚
annuobendao	安诺本岛
weiwei	维威
baisha	白沙
kslz	昆士兰州
fdgc	梵蒂冈城
zhucheng	诸城
bangguanu	邦瓜努
qinglai	清莱
silibajiawanshi	斯里巴加湾市
hulin	虎林
midiyaluodao	米蒂亚罗岛
sitelasibao	斯特拉斯堡
abaiang	阿拜昂
jnd	加拿大
aerboletasi	阿尔伯勒塔斯
kaichenggongyediqu	开城工业地区
tijikejia	提吉克贾
telonghaimu	特隆海姆
jnn	杰内纳
ledong	乐东
ruishiquanjing	瑞士全境
rnw	日内瓦
balidao	巴厘岛
bayangnei	巴扬内
hekf	哈尔科夫
rny	热内亚	热那亚
nuwakexiaote	努瓦克肖特
rsqj	瑞士全境
ensheerziweike	恩舍尔兹维克
bukawu	布卡武
shengyuehan	圣约翰
guanghan	广汉
kuibeikecheng	魁北克城
kuita	奎塔
asandiqu	阿散蒂区
chizhou	池州
jpz	柬埔寨
saersibao	萨尔斯堡
gantuoke	甘托克
nasao	拿骚
yuxian	蔚县
gansu	甘肃
hayimajiao	哈伊马角
weiliansitade	威廉斯塔德
twly	台湾旅游
aluodao	阿洛岛
yingde	英德
plwsaks	普罗旺斯埃克斯
helong	和龙
foluoleisi	佛罗雷斯
jianyang	建阳	简阳
rln	日利纳
rlm	热雷米
munihei	慕尼黑
chongsheng	冲绳
rld	热浪岛
bopulade	波普拉德
jilin	吉林
rkz	日喀则
lamuanla	拉姆安拉
saerte	萨尔特
beiermalite	贝尔马立特
aeyf	阿尔约夫
aluotao	阿洛淘
bosite	博斯特
jjs	旧金山
jjl	基加利
dbdq	东部地区
jjd	京畿道
aosikasihamen	奥斯卡斯哈门
hubei	湖北
panzhihua	攀枝花
ahuasi	阿华斯
njlg	尼加拉瓜
jla	加鲁阿
blbnsbd	波罗奔尼萨半岛
btltl	布塔里塔里
diqing	迪庆
eerxinji	俄尔辛基
bamake	巴马科
moxige	墨西哥
jnlqdx	加那利群岛（西）
suomali	索马里
aimai	埃迈
hltfd	赫鲁特方丹
hulunbeier	呼伦贝尔
beiergelaide	贝尔格莱德
huhuyi	胡胡伊
guixi	贵溪
angela	安哥拉
blgwssk	布拉戈维申斯克
jlm	吉灵庙
lgagla	拉戈阿格里奥
jlp	吉隆坡
nwxbesk	诺沃西比尔斯克
jld	基利岛
yisifahan	伊斯法罕
funafuti	富纳富提
aedbl	阿尔达比勒
laibin	来宾
xiaoyi	孝义
aeryuefu	阿尔约夫
saiyidebuer	赛义德布尔
pulandian	普兰店
ailate	埃拉特
mengtelier	蒙特利尔
jixinewu	基希讷乌
dengzhou	邓州
qiandaohu	千岛湖
xianggelila	香格里拉
alajipu	阿拉吉普
chaozhou	潮州
xintela	新特拉
shengpiaierhemikelongdao	圣皮埃尔和密克隆岛
balinasi	巴里纳斯
qiwayu	齐瓦余
chongshengxian	冲绳县
alajiaersasi	阿拉加尔萨斯
zhalantun	扎兰屯
akaligua	阿卡里瓜
xingcheng	兴城
eltly	厄立特里亚
asezhen	阿瑟镇
shanxi	山西	陕西
fashuguiyanei	法属圭亚那
aluona	阿罗纳
guoluo	果洛
metd	马耳他岛
lier	里尔
danbulongqu	淡布隆区
haergesa	哈尔格萨
fandigang	梵蒂冈
nikexiya	尼科西亚
kayan	卡宴
ningbo	宁波
ktdw	科特迪瓦
lltjd	拉罗汤加岛
liangping	梁平
kkqdx	库克群岛（新）
shengtaoshadao	圣淘沙岛
bagelong	巴格隆
wanlong	万隆
aewd	埃尔韦德
gaomi	高密
moersibigang	莫尔斯比港
jejsst	吉尔吉斯斯坦
shengjiciheniweisi	圣基茨和尼维斯
ningde	宁德
hanchuan	汉川
mkkljlb	马可可拉俱乐部
palaxiaosi	帕拉西奥斯
matinikefa	马提尼克（法）
huangnan	黄南
heergeda	赫尔格达
ablays	阿布雷奥约斯
flqd	法罗群岛
hongshishi	红石市
dblq	淡布隆区
paermaer	帕尔马尔
zoucheng	邹城
bowei	博韦
dbls	德布勒森	第比利斯
rsf	热舒夫
bulawayue	布拉瓦约
jilibasi	基里巴斯
ble/fle	博伦厄/法鲁恩
kankun	坎昆
nuofukedao(aoshu)	诺福克岛(澳属)
mseqd	马绍尔群岛
pulalandao	普拉兰岛
bazhalutequndao	巴扎鲁特群岛
luoanda	罗安达
guadeluopu(fashu)	瓜德罗普(法属)
ezhou	鄂州
dangyang	当阳
nanning	南宁
