trieBegin	trieEnd	trieindex
31	31	-1
32	32	-1
33	33	-1
34	34	-1
35	35	-1
36	36	-1
37	60	-1
61	85	-1
86	104	-1
105	128	-1
129	141	-1
142	160	-1
161	179	-1
180	201	-1
202	202	-1
203	227	-1
228	249	-1
250	273	-1
274	297	-1
298	320	-1
321	324	-1
325	347	-1
348	364	-1
365	382	-1
383	407	-1
408	429	-1
430	430	-1
431	451	-1
452	473	-1
474	497	-1
498	520	-1
521	521	-1
522	522	-1
523	523	-1
524	524	-1
525	525	-1
526	526	-1
527	529	-1
530	546	1698
547	548	1695
549	559	1696
560	576	-1
577	581	-1
582	588	1699
589	594	1700
595	606	-1
607	612	1688
613	620	1685
621	639	1686
640	644	1691
645	662	1692
663	672	-1
673	677	-1
678	678	1683
679	679	-1
680	695	1681
696	707	1679
708	713	-1
714	714	-1
715	720	1674
721	722	-1
723	745	1675
746	749	1610
750	750	1611
751	761	1612
762	775	1614
776	779	-1
780	784	1607
785	789	1608
790	801	-1
802	808	1602
809	816	1603
817	836	1604
837	845	1605
846	852	1599
853	869	-1
870	870	1600
871	871	1601
872	872	-1
873	882	1592
883	890	1597
891	904	-1
905	905	1588
906	906	1591
907	913	1590
914	917	1585
918	919	-1
-1	-1	1583
920	920	1648
921	923	-1
-1	-1	1646
924	924	-1
925	929	1643
930	930	-1
931	931	1640
-1	-1	1638
-1	-1	1639
932	932	1634
-1	-1	1635
933	933	-1
934	934	1632
935	935	1630
-1	-1	1627
-1	-1	1626
-1	-1	1625
936	951	1618
952	957	1616
-1	-1	1615
958	959	1539
960	970	-1
-1	-1	1542
971	972	1540
973	973	1544
974	984	-1
985	988	1546
989	989	1545
990	995	1549
996	998	1547
999	1002	-1
1003	1004	-1
1005	1005	1554
-1	-1	1559
1006	1008	1558
-1	-1	1526
1009	1013	-1
1014	1015	-1
1016	1017	1529
1018	1018	1530
1019	1019	1532
1020	1024	-1
1025	1028	-1
1029	1031	-1
1032	1032	-1
1033	1033	-1
1034	1034	-1
1035	1041	-1
1042	1043	-1
1044	1050	-1
-1	-1	1575
1051	1051	-1
1052	1054	1581
1055	1055	1565
1056	1062	1567
1063	1064	1571
1065	1067	1569
1068	1070	-1
1071	1071	-1
-1	-1	1488
1072	1072	1491
1073	1073	1484
1074	1074	1483
1075	1083	1487
1084	1085	-1
1086	1086	1494
1087	1089	-1
-1	-1	1495
1090	1092	1492
1093	1106	-1
-1	-1	1473
-1	-1	1474
-1	-1	1469
1107	1109	1480
1110	1113	1481
-1	-1	1475
1114	1117	1477
1118	1129	1478
1130	1132	1517
-1	-1	1516
-1	-1	1514
1133	1141	1513
1142	1143	1512
1144	1144	1511
1145	1145	-1
1146	1146	1523
1147	1147	1520
1148	1149	1518
1150	1156	-1
-1	-1	1500
1157	1159	1497
1160	1161	1498
1162	1174	1510
1175	1175	1507
1176	1176	1508
1177	1179	1504
1180	1195	1505
-1	-1	1502
-1	-1	1503
1196	1198	1919
1199	1199	1916
1200	1200	1918
1201	1209	1921
1210	1211	1925
1212	1215	1920
1216	1217	-1
1218	1219	-1
1220	1225	1910
1226	1226	1914
1227	1235	-1
1236	1236	-1
1237	1237	1939
1238	1238	1938
1239	1239	1937
1240	1240	-1
-1	-1	1963
1241	1242	1952
-1	-1	1950
1243	1247	1955
1248	1252	1954
1253	1253	1958
1254	1255	-1
1256	1256	1959
1257	1272	-1
1273	1275	1847
-1	-1	1849
1276	1282	1845
1283	1285	1846
1286	1289	1843
-1	-1	1844
1290	1290	1839
-1	-1	1840
-1	-1	1836
1291	1294	1838
1295	1296	1835
1297	1298	-1
1299	1299	-1
1300	1300	1829
1301	1303	1830
1304	1305	1866
1306	1318	-1
1319	1322	-1
1323	1323	1858
1324	1326	-1
1327	1341	-1
1342	1342	1854
-1	-1	1852
1343	1344	-1
1345	1345	-1
1346	1349	1883
1350	1363	1885
1364	1369	1888
1370	1376	1891
1377	1378	1880
1379	1379	-1
1380	1387	1874
1388	1393	1877
1394	1403	-1
1404	1406	-1
1407	1407	-1
1408	1408	1870
1409	1409	1873
1410	1424	1904
1425	1434	1908
-1	-1	1906
1435	1435	1899
1436	1444	1898
